project_id,label,close_rate,close_time
9338,Single,0.7887,112.1369
9384,Multi,0.9481,55.7032
9422,Multi,0.9024,176.3167
9427,Multi,0.9680,64.7341
9431,Multi,0.6714,53.3421
9514,Multi,0.8958,69.7203
9525,Multi,0.6241,97.7579
9537,Multi,0.7422,49.5981
9608,Multi,0.8761,28.5317
9617,Multi,0.7291,118.4967
9682,Multi,0.9945,195.6131
9703,Multi,0.9654,75.5968
9716,"No Label",0.3593,116.9961
9780,Multi,0.8829,83.2689
9793,Multi,0.6729,416.9587
9828,Multi,0.5875,176.7513
9836,"No Label",0.5996,100.1355
9861,Multi,0.8234,86.8660
9866,Multi,0.7973,87.1006
9934,Single,0.6079,137.0145
9941,Multi,0.6330,177.9614
9962,Multi,0.9393,95.4826
10045,Multi,0.8799,130.9967
10067,Multi,0.5276,169.0719
10070,Multi,0.9259,168.1343
10098,Multi,0.8793,122.8806
10108,Multi,0.5259,163.9759
10109,Multi,0.7910,186.6938
10111,Multi,0.9706,86.9158
10119,Single,0.7895,51.5061
10146,Multi,0.5929,137.2603
10158,Multi,0.8833,187.7075
10215,Multi,0.9841,184.1260
10373,Multi,0.7027,379.2613
10408,Multi,0.6324,47.6529
10412,Multi,0.8926,124.2741
10441,Multi,0.9914,106.2082
10502,Multi,0.9135,90.5419
10505,Multi,0.8797,132.9568
10508,Multi,0.7432,612.6312
10537,Multi,0.9938,90.8328
10539,Single,0.5439,90.3627
10575,Multi,0.9448,40.0204
10594,Multi,0.6111,98.0049
10610,Multi,0.8431,170.0558
10641,Multi,0.7521,40.4221
10679,Multi,0.9414,104.7756
10696,Multi,0.7934,176.4188
10699,Multi,0.8909,57.2925
10742,Multi,0.5200,42.8811
10856,Multi,0.9046,71.0912
10868,Multi,0.9379,83.1424
10887,"No Label",0.6986,67.4730
10894,Single,0.6598,35.6382
10912,Multi,0.9190,28.9238
10940,Multi,0.9492,253.2891
10972,Single,0.9397,174.9009
11002,Multi,0.9152,145.9060
11018,Multi,0.8314,206.6186
11019,Multi,0.9664,73.5687
11020,Multi,0.7438,103.2444
11052,Multi,0.8079,56.0630
11077,"No Label",0.8724,130.9898
11082,Multi,0.6527,396.0064
11090,Multi,0.9342,114.5982
11117,Multi,0.7118,341.2195
11124,Multi,0.6339,169.6489
11176,Multi,0.9909,59.9020
11224,Multi,0.5548,85.8024
11247,Multi,0.9486,77.9797
11254,Single,0.7634,67.5313
11307,Multi,0.9791,112.7623
11322,Multi,0.8779,81.2079
11338,Multi,0.7200,175.7281
11354,Multi,0.7773,51.0449
11371,Multi,0.8671,73.9039
11387,Multi,0.8646,94.1622
11390,Multi,0.9674,100.8390
11405,Multi,0.5147,62.3571
11422,Multi,0.4144,130.8099
11435,Multi,0.9342,52.5509
11441,Single,0.8069,43.4836
11450,Multi,0.8425,154.3023
11511,Multi,0.8650,217.5345
11533,Multi,0.6578,104.5511
11546,Multi,0.5487,143.1935
11575,Multi,0.9801,54.0029
11578,Multi,0.7824,151.5707
11597,Multi,0.7971,84.7612
11603,Multi,0.9932,25.6368
11638,Multi,0.9344,145.0006
11660,Multi,1.0000,209.7575
11672,Single,0.7123,606.7584
11690,Multi,0.7419,218.6253
11732,Multi,0.7572,61.1590
11744,Multi,0.6671,87.2569
11809,Single,0.7972,77.9306
11820,Multi,0.8279,178.0282
11821,Multi,0.9737,80.1430
11825,Multi,0.7449,54.7483
11851,Multi,0.9910,881.5145
11884,Single,0.3240,70.7759
11921,Multi,0.9286,94.9372
11928,Multi,0.7923,250.0390
11975,"No Label",0.9974,40.6832
12005,Multi,0.7068,131.8681
12031,Multi,1.0000,200.1883
12049,Multi,0.8397,142.6516
12075,Multi,0.8642,260.7940
12093,Multi,0.7373,52.8259
12106,Multi,0.7992,24.0533
12150,Multi,0.8679,263.8436
12253,Multi,0.7959,151.8918
12258,Multi,0.9888,23.8520
12269,Multi,0.6343,137.0471
12302,Multi,0.9498,117.1695
12306,Multi,0.7398,38.4576
12368,Single,0.4675,204.6291
12412,Multi,0.8575,186.8940
12455,Multi,0.7715,150.6427
12507,Multi,0.6755,96.9723
12539,Single,0.2271,91.8487
12558,Multi,0.9060,82.0802
12571,"No Label",0.9345,56.1812
12639,Multi,0.7672,325.7938
12665,Multi,0.9155,167.1790
12695,Multi,0.9230,88.6750
12702,Multi,0.8585,52.9176
12757,Multi,0.9625,85.0405
12823,Multi,0.8315,116.8904
12830,Multi,0.9073,38.0720
12831,Single,1.0000,7.2671
12841,Multi,0.8324,127.5034
12876,Multi,0.8179,255.4850
12885,Multi,0.8743,189.5812
12923,"No Label",0.8943,45.0687
12952,Multi,0.9392,416.2618
12958,Multi,0.9091,144.2043
13001,Multi,0.7373,60.9708
13021,Single,0.9162,84.1209
13033,Multi,0.7747,42.7128
13043,Single,0.7330,46.2387
13071,Multi,0.8238,31.9754
13100,Multi,0.8220,108.3866
13181,Multi,0.8480,124.6593
13193,Multi,0.6066,63.4000
13199,Single,0.5333,52.8375
13228,"No Label",0.9626,56.4333
13235,Multi,0.7046,257.3182
13255,Multi,0.7967,248.6366
13285,Multi,0.7935,280.6748
13289,Multi,0.9826,114.3746
13294,Multi,0.9572,124.4361
13312,Multi,0.8897,118.9177
13322,Multi,0.9957,233.4585
13347,Multi,0.9417,170.8689
13354,Single,0.6847,37.8465
13380,Multi,0.8233,110.1469
13435,Multi,0.8960,115.8929
13436,Multi,0.7540,153.7207
13546,Multi,0.8157,213.7556
13573,Single,0.9057,69.8633
13584,"No Label",0.5512,201.4295
13649,Multi,0.8224,54.4587
13665,Multi,0.5975,225.2778
13666,Multi,0.5202,444.6921
13668,Multi,0.8254,65.5846
13718,Multi,0.9341,171.6329
13720,Multi,0.7863,177.4009
13721,Multi,0.9802,80.6647
13737,Multi,0.7500,217.8955
13762,"No Label",1.0000,0.1811
13778,Multi,0.6518,113.4025
13813,Multi,0.8331,20.7572
13972,"No Label",0.5130,43.6854
13981,Multi,0.7798,46.7235
13988,Multi,0.9130,71.5119
13990,Multi,0.3213,126.9481
14000,Single,0.9515,66.7963
14043,Multi,0.6061,204.2125
14068,Multi,0.7481,249.7096
14084,Multi,0.9113,91.3202
14098,Multi,0.8241,93.6122
14160,Multi,0.9005,44.6974
